,enquiries
2939,what is the definition of a lease?
2940,What is the objective of the disclosures?
2941,What is the purpose of the paragraph?
2942,what is the amount of interest expense on lease liabilities?
2943,What format is more appropriate for a lessee to provide the disclosures specified in paragraph 53?
2944,what is the amount of short-term leases a lessee is committed to?
2945,what is the revaluation surplus?
2946,What is the basis for conclusion of the IFRS 7 Financial Instruments: Disclosure?
2947,What is the definition of a lease?
2948,what is the definition of a lease?
2949,what is the amount of profit or loss recognised in the reporting period?
2950,What is the difference between a finance lease and an operating lease?
2951,What is the definition of an operating lease?
2952,What is the difference between a finance lease and an operating lease?
2953,What could lead to a lease being classified as a finance lease?
2954,What is the definition of an operating lease?
2955,What is the difference between a lease classification and a modification?
2956,What is the difference between the interest rate used for the head lease and the discount rate used for?
2957,What is the difference between the interest rate implicit in the lease and the net investment in the lease?
2958,what are the payments for the right to use the underlying asset during the lease term that are?
2959,what is the difference between revenue and the cost of sale?
2960,What does a finance lease of an asset mean?
2961,What would result in a lessor recognising an excessive portion of the total income?
2962,What are the costs incurred by a manufacturer or dealer lessor in connection with obtaining?
2963,what is the tenancy term of the lease?
2964,What is the purpose of the lease payment?
2965,What is the purpose of the lease?
2966,What is the definition of a lessor that classifies an asset under a finance lease?
2967,what is the difference between a modification to a finance lease and a lease?
2968,what is the IFRS 9 requirements?
2969,What is the purpose of the article?
2970,what is the tenancy?
2971,what is the underlying asset?
2972,What is the depreciation policy for depreciable underlying assets subject to operating?
2973,What is the purpose of the article?
2974,What is the purpose of the paragraph?
2975,what is the underlying asset subject to operating leases?
2976,What is the objective of the disclosures?
2977,What is the definition of a lease?
2978,What format is more appropriate for a lessor?
2979,what is the purpose of the paragraph?
2980,what is the net investment in finance lease?
2981,what is the IFRS 17.132?
2982,"What is the disclosure requirement for property, plant and equipment subject to an operating lease?"
2983,what is the disclosure requirement for a lessor?
2984,What is the definition of IFRS 17.132?
2985,what does the seller-lessee do when the asset is transferred to another entity?
2986,what is the IFRS 15 requirements for determining when a performance obligation is satisfied?
2987,What is the IFRS 15 requirement for the seller-lessee?
2988,what is the definition of fair value?
2989,what is the difference between the fair value of the consideration for the sale and the fair value of?
2990,What does the seller-lessee do?
2991,what is the IFRS 15 requirement to be accounted for as a sale of an?
2992,What is the definition of the term â€˜interest rate benchmark reformâ€™?
2993,what is the purpose of the paragraph 42?
2994,what is the statutory requirement for a lessee to account for all lease modifications made at?
2995,What are the key principles of IFRS 17?
2996,What are the definitions of a contract?
2997,what does a company do to IFRS 17?
2998,what is the definition of a reinsurance contract?
2999,What does the IFRS 17 refer to?
3000,what is the definition of an insurance contract?
3001,What is the definition of an insurance contract?
3002,What is the definition of an insurance contract?
3003,What is the definition of an insurance contract?
3004,What is the scope of an insurance contract?
3005,what is the IFRS 9 for separate investment component?
3006,What does the entity do after applying paragraph 11 to separate any promises to provide different goods or services?
3007,what is the IFRS 17 for host insurance?
3008,What is the definition of a portfolio?
3009,what is the level of aggregation of reinsurance contracts held?
3010,what is the definition of a portfolio of insurance contracts?
3011,what is the purpose of the paragraph?
3012,what is the best way to assess whether a contract is onerous at initial recognition?
3013,what is the effect of changes in assumptions on different contracts?
3014,What is the purpose of paragraph 14-19?
3015,What is the definition of a subdivided group?
3016,what is the purpose of the paragraphs 16â€“21?
3017,what is the result of applying paragraphs 14â€“22?
3018,what is the definition of IFRS 17?
3019,what is the first payment from a policyholder in the group?
3020,What is the first payment from the policyholder deemed to be due when it is received?
3021,What is the definition of a group of insurance contracts?
3022,what is the purpose of the paragraph?
3023,what is an asset insurance acquisition cash flow?
3024,what is the definition of an asset for insurance acquisition cash flows?
3025,What does the entity do if it determines an impairment loss?
3026,what is the meaning of the paragraph?
3027,what is the definition of a group of insurance contracts?
3028,What is the effect of changes in foreign exchange rates on insurance contracts?
3029,what is the definition of non-performance risk in the financial statements of an entity that issues insurance?
3030,what is the definition of a group of insurance contracts?
3031,What is the most appropriate method for estimating future cash flows?
3032,what is the definition of a substantive obligation to provide insurance contract services?
3033,What does the entity recognise as a liability or as an asset?
3034,what are the discount rates for financial instruments with cash flows?
3035,what is the value of the cash flows?
3036,what is the definition of the contractual service margin?
3037,What is the purpose of the paragraphs B93â€“B95F?
3038,what is the carrying amount of a group of insurance contracts at the end of each reporting period?
3039,what is the effect of financial risk on the liability for remaining coverage?
3040,what is the effect of financial risk on the entity?
3041,what is the profit margin in the group of insurance contracts at the end of the reporting period?
3042,what is the basis for conclusion?
3043,What is the difference between the carrying amount of the contractual service margin of a group of contracts?
3044,What is the definition of a loss in profit or loss?
3045,What is the definition of a loss component?
3046,What is the definition of a contractual service margin?
3047,what is the liability for remaining coverage?
3048,what is the amount allocated to the loss component in accordance with paragraphs 48â€“50?
3049,what is the definition of a group of insurance contracts?
3050,What is the criterion in paragraph 53(a)?
3051,what is the amount of insurance acquisition cash flows at the end of the reporting period?
3052,what is the effect of financial risk on the carrying amount of the liability for remaining coverage?
3053,What are the requirements in IFRS 17 for reinsurance contracts held?
3054,What is the difference between a group of reinsurance contracts held?
3055,what is the definition of a group of reinsurance contracts held?
3056,what is the definition of a group of reinsurance contracts held that provide proportionate coverage?
3057,What is the effect of any risk of non-performance by the issuer of the re?
3058,what is the risk adjustment for non-financial risk?
3059,What is the definition of a service margin?
3060,what is the net cost of purchasing reinsurance coverage?
3061,what is the contractual service margin for a group of reinsurance contracts held?
3062,what is the purpose of the paragraphs?
3063,what is the definition of a loss-recovery component?
3064,What does the reinsurance contract requirement mean?
3065,what is the definition of a premium allocation approach?
3066,What is the definition of a condition in paragraph 69(a)?
3067,what is the effect of the premium allocation approach?
3068,What is the difference between a contract with discretionary participation features and a contract with?
3069,What is the definition of a modified contract?
3070,what is the definition of a group of insurance contracts?
3071,what is the difference between the premium and the new contract?
3072,what is the reinsurance contract holding that is liabilities?
3073,what is the carrying amount of the related portfolios of insurance contracts issued?
3074,what is the definition of insurance finance income?
3075,What is the definition of a disaggregation?
3076,what is the definition of a reinsurance contract?
3077,What is the definition of profit or loss insurance revenue?
3078,What is the definition of a reinsurance contract?
3079,What is the definition of insurance service expenses?
3080,what is the purpose of the paragraph?
3081,What is the purpose of paragraph 87A(b)?
3082,what is the purpose of paragraph 87A(b)?
3083,what is the IFRS 17.80 b Disclosure?
3084,what is the reclassification of insurance income?
3085,What does paragraph 30 require an entity to treat an insurance contract as a monetary item under?
3086,What is the objective of the disclosure requirements?
3087,what is the level of detail required to meet the disclosure objective?
3088,What is the purpose of the paragraph?
3089,What is the definition of a reportable segment?
3090,what is the definition of the method used to recognise insurance acquisition cash flows?
3091,What is the purpose of the disclosure?
3092,what is the definition of a financial statement?
3093,what is the risk adjustment for non-financial risk?
3094,what is the difference between the premium allocation approach and the insurance contract?
3095,what is the objective of the reconciliations in paragraphs 100â€“101?
3096,What is the difference between the two?
3097,What is the definition of a change in the value of a contract?
3098,what is the amount of insurance acquisition cash flows?
3099,what is the definition of a reconciliation?
3100,what is the reversal of impairment losses?
3101,What is the purpose of the analysis?
3102,what is the effect of the premium allocation approach on the statement of financial position?
3103,what is the definition of a contract?
3104,what is the definition of IFRS 17.100?
3105,What is the definition of the IFRS 17.132?
3106,what is the definition of insurance finance income?
3107,what is the fair value of underlying items for contracts with direct participation features?
3108,what is the effect of the decision not to adjust the contractual service margin for some changes in the?
3109,what is the basis of disaggregation of insurance finance income?
3110,what is the effect of the modified retrospective approach on insurance revenue?
3111,what is the purpose of paragraph 114(a) or 114(b)?
3112,What is the purpose of the reconciliation?
3113,What is the purpose of the disclosure?
3114,what is the purpose of the paragraph?
3115,what is the confidence level used to determine risk adjustment for non-financial risk?
3116,what is the yield curve used to discount cash flows that do not vary based on returns on?
3117,What are the requirements for disclosures that would normally be necessary to meet this requirement?
3118,What are the most common financial risks that arise from insurance contracts?
3119,what is the reason why an entity's exposure to risk at the end of the reporting period?
3120,What are the types of risks that arise from contracts within scope of IFRS 17?
3121,what type of risk arises from contracts within the scope of IFRS 17?
3122,what is the effect of the regulatory frameworks in which an entity operates?
3123,What is the definition of IFRS 17?
3124,what is the IFRS 17 requirement?
3125,What is the purpeose of the disclosure?
3126,what is the maximum exposure to credit risk that arises from contracts within the scope of IF?
3127,what is the definition of IFRS 17?
